name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	impedance
chan1	SEEG	mV	1	7500	scalp	chan1	30000	referential/unipolar	n/a	n/a	n/a	3880
chan2	SEEG	mV	1	7500	scalp	chan2	30000	referential/unipolar	n/a	n/a	n/a	5090
chan3	SEEG	mV	1	7500	scalp	chan3	30000	referential/unipolar	n/a	n/a	n/a	7250
chan4	SEEG	mV	1	7500	scalp	chan4	30000	referential/unipolar	n/a	n/a	n/a	6120
chan5	SEEG	mV	1	7500	scalp	chan5	30000	referential/unipolar	n/a	n/a	n/a	6330
chan6	SEEG	mV	1	7500	scalp	chan6	30000	referential/unipolar	n/a	n/a	n/a	3760
chan7	SEEG	mV	1	7500	scalp	chan7	30000	referential/unipolar	n/a	n/a	n/a	1840
chan8	SEEG	mV	1	7500	scalp	chan8	30000	referential/unipolar	n/a	n/a	n/a	75.6
chan9	SEEG	mV	1	7500	scalp	chan9	30000	referential/unipolar	n/a	n/a	n/a	67.5
chan10	SEEG	mV	1	7500	scalp	chan10	30000	referential/unipolar	n/a	n/a	n/a	6210
chan11	SEEG	mV	1	7500	scalp	chan11	30000	referential/unipolar	n/a	n/a	n/a	6470
chan12	SEEG	mV	1	7500	scalp	chan12	30000	referential/unipolar	n/a	n/a	n/a	2760
chan13	SEEG	mV	1	7500	scalp	chan13	30000	referential/unipolar	n/a	n/a	n/a	76
chan14	SEEG	mV	1	7500	scalp	chan14	30000	referential/unipolar	n/a	n/a	n/a	47.7
chan15	SEEG	mV	1	7500	scalp	chan15	30000	referential/unipolar	n/a	n/a	n/a	47.2
chan16	SEEG	mV	1	7500	scalp	chan16	30000	referential/unipolar	n/a	n/a	n/a	56.6
chan17	SEEG	mV	1	7500	scalp	chan17	30000	referential/unipolar	n/a	n/a	n/a	114
chan18	SEEG	mV	1	7500	scalp	chan18	30000	referential/unipolar	n/a	n/a	n/a	57.9
chan19	SEEG	mV	1	7500	scalp	chan19	30000	referential/unipolar	n/a	n/a	n/a	63.6
chan20	SEEG	mV	1	7500	scalp	chan20	30000	referential/unipolar	n/a	n/a	n/a	54.6
chan21	SEEG	mV	1	7500	scalp	chan21	30000	referential/unipolar	n/a	n/a	n/a	55.6
chan22	SEEG	mV	1	7500	scalp	chan22	30000	referential/unipolar	n/a	n/a	n/a	59.8
chan23	SEEG	mV	1	7500	scalp	chan23	30000	referential/unipolar	n/a	n/a	n/a	72.8
