name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description	impedance
chan24	SEEG	mV	1	7500	scalp	chan24	30000	referential/unipolar	n/a	n/a	n/a	57.7
chan25	SEEG	mV	1	7500	scalp	chan25	30000	referential/unipolar	n/a	n/a	n/a	54.2
chan26	SEEG	mV	1	7500	scalp	chan26	30000	referential/unipolar	n/a	n/a	n/a	365
chan27	SEEG	mV	1	7500	scalp	chan27	30000	referential/unipolar	n/a	n/a	n/a	57.6
chan28	SEEG	mV	1	7500	scalp	chan28	30000	referential/unipolar	n/a	n/a	n/a	55.9
chan29	SEEG	mV	1	7500	scalp	chan29	30000	referential/unipolar	n/a	n/a	n/a	115
chan30	SEEG	mV	1	7500	scalp	chan30	30000	referential/unipolar	n/a	n/a	n/a	96
chan31	SEEG	mV	1	7500	scalp	chan31	30000	referential/unipolar	n/a	n/a	n/a	58.4
chan32	SEEG	mV	1	7500	scalp	chan32	30000	referential/unipolar	n/a	n/a	n/a	8070
chan33	SEEG	mV	1	7500	scalp	chan33	30000	referential/unipolar	n/a	n/a	n/a	8760
chan34	SEEG	mV	1	7500	scalp	chan34	30000	referential/unipolar	n/a	n/a	n/a	8540
chan35	SEEG	mV	1	7500	scalp	chan35	30000	referential/unipolar	n/a	n/a	n/a	6890
chan36	SEEG	mV	1	7500	scalp	chan36	30000	referential/unipolar	n/a	n/a	n/a	554
chan37	SEEG	mV	1	7500	scalp	chan37	30000	referential/unipolar	n/a	n/a	n/a	644
chan38	SEEG	mV	1	7500	scalp	chan38	30000	referential/unipolar	n/a	n/a	n/a	607
chan39	SEEG	mV	1	7500	scalp	chan39	30000	referential/unipolar	n/a	n/a	n/a	3840
chan40	SEEG	mV	1	7500	scalp	chan40	30000	referential/unipolar	n/a	n/a	n/a	575
chan41	SEEG	mV	1	7500	scalp	chan41	30000	referential/unipolar	n/a	n/a	n/a	607
chan42	SEEG	mV	1	7500	scalp	chan42	30000	referential/unipolar	n/a	n/a	n/a	597
chan43	SEEG	mV	1	7500	scalp	chan43	30000	referential/unipolar	n/a	n/a	n/a	3990
chan44	SEEG	mV	1	7500	scalp	chan44	30000	referential/unipolar	n/a	n/a	n/a	621
chan45	SEEG	mV	1	7500	scalp	chan45	30000	referential/unipolar	n/a	n/a	n/a	628
chan46	SEEG	mV	1	7500	scalp	chan46	30000	referential/unipolar	n/a	n/a	n/a	618
chan47	SEEG	mV	1	7500	scalp	chan47	30000	referential/unipolar	n/a	n/a	n/a	611
chan48	SEEG	mV	1	7500	scalp	chan48	30000	referential/unipolar	n/a	n/a	n/a	613
chan49	SEEG	mV	1	7500	scalp	chan49	30000	referential/unipolar	n/a	n/a	n/a	604
chan50	SEEG	mV	1	7500	scalp	chan50	30000	referential/unipolar	n/a	n/a	n/a	2140
chan51	SEEG	mV	1	7500	scalp	chan51	30000	referential/unipolar	n/a	n/a	n/a	618
chan52	SEEG	mV	1	7500	scalp	chan52	30000	referential/unipolar	n/a	n/a	n/a	604
chan53	SEEG	mV	1	7500	scalp	chan53	30000	referential/unipolar	n/a	n/a	n/a	615
chan54	SEEG	mV	1	7500	scalp	chan54	30000	referential/unipolar	n/a	n/a	n/a	591
chan55	SEEG	mV	1	7500	scalp	chan55	30000	referential/unipolar	n/a	n/a	n/a	614
chan56	SEEG	mV	1	7500	scalp	chan56	30000	referential/unipolar	n/a	n/a	n/a	613
chan57	SEEG	mV	1	7500	scalp	chan57	30000	referential/unipolar	n/a	n/a	n/a	618
chan58	SEEG	mV	1	7500	scalp	chan58	30000	referential/unipolar	n/a	n/a	n/a	6820
chan59	SEEG	mV	1	7500	scalp	chan59	30000	referential/unipolar	n/a	n/a	n/a	607
chan60	SEEG	mV	1	7500	scalp	chan60	30000	referential/unipolar	n/a	n/a	n/a	613
chan61	SEEG	mV	1	7500	scalp	chan61	30000	referential/unipolar	n/a	n/a	n/a	7570
chan62	SEEG	mV	1	7500	scalp	chan62	30000	referential/unipolar	n/a	n/a	n/a	8960
chan63	SEEG	mV	1	7500	scalp	chan63	30000	referential/unipolar	n/a	n/a	n/a	609
chan64	SEEG	mV	1	7500	scalp	chan64	30000	referential/unipolar	n/a	n/a	n/a	610
